Club,Type ,Target ,Total,Side
Dr,Tee,275,280,-12
Dr,Tee,275,270,28
Dr,Tee,275,275,5
Dr,Tee,275,278,-35
Dr,Tee,275,272,10
Dr,Tee,275,285,20
Dr,Tee,275,274,-15
Dr,Tee,275,269,30
Dr,Tee,275,277,-25
Dr,Tee,275,271,15
Dr,Tee,275,279,-18
Dr,Tee,275,273,22
Dr,Tee,275,276,-10
Dr,Tee,275,268,32
Dr,Tee,275,282,-28
Dr,Tee,275,275,0
Dr,Tee,275,270,33
Dr,Tee,275,283,-20
Dr,Tee,275,274,18
Dr,Tee,275,271,-8
3w,Tee,250,255,-12
3w,Tee,250,248,22
3w,Tee,250,250,-30
3w,Tee,250,252,10
3w,Tee,250,247,15
3w,Tee,250,251,-28
3w,Tee,250,249,5
3w,Tee,250,253,-18
3w,Tee,250,250,20
3w,Tee,250,246,-8
3w,Tee,250,254,25
3w,Tee,250,248,-15
3w,Tee,250,251,12
3w,Tee,250,249,-5
3w,Tee,250,252,7
3w,Tee,250,250,-22
3w,Tee,250,247,15
3w,Tee,250,253,-10
3w,Tee,250,248,18
3w,Tee,250,251,-20
3w,Approach,250,255,-12
3w,Approach,250,248,22
3w,Approach,250,250,-30
3w,Approach,250,252,10
3w,Approach,250,247,15
3w,Approach,250,251,-28
3w,Approach,250,249,5
3w,Approach,250,253,-18
3w,Approach,250,250,20
3w,Approach,250,246,-8
3w,Approach,250,254,25
3w,Approach,250,248,-15
3w,Approach,250,251,12
3w,Approach,250,249,-5
3w,Approach,250,252,7
3w,Approach,250,250,-22
3w,Approach,250,247,15
3w,Approach,250,253,-10
3w,Approach,250,248,18
3w,Approach,250,251,-20
4hy,Tee,235,238,-8
4hy,Tee,235,232,18
4hy,Tee,235,235,-25
4hy,Tee,235,236,5
4hy,Tee,235,234,-12
4hy,Tee,235,233,20
4hy,Tee,235,237,-10
4hy,Tee,235,235,15
4hy,Tee,235,234,-5
4hy,Tee,235,236,10
4hy,Approach,235,233,-18
4hy,Approach,235,235,8
4hy,Approach,235,236,-3
4hy,Approach,235,234,12
4hy,Approach,235,237,-7
4hy,Approach,235,235,3
4hy,Approach,235,232,-22
4hy,Approach,235,236,15
4hy,Approach,235,233,-5
4hy,Approach,235,235,2
4i,Tee,220,222,-12
4i,Tee,220,218,18
4i,Tee,220,220,-20
4i,Tee,220,221,5
4i,Tee,220,219,-10
4i,Tee,220,223,12
4i,Tee,220,220,-3
4i,Tee,220,218,15
4i,Tee,220,221,-8
4i,Tee,220,219,10
4i,Approach,220,222,-5
4i,Approach,220,220,8
4i,Approach,220,219,-2
4i,Approach,220,221,6
4i,Approach,220,218,-15
4i,Approach,220,220,3
4i,Approach,220,219,-12
4i,Approach,220,222,7
4i,Approach,220,220,-4
4i,Approach,220,219,2
5i,Approach,205,207,-10
5i,Approach,205,203,12
5i,Approach,205,205,-18
5i,Approach,205,206,5
5i,Approach,205,204,-8
5i,Approach,205,207,15
5i,Approach,205,205,-5
5i,Approach,205,203,10
5i,Approach,205,206,-2
5i,Approach,205,204,8
5i,Approach,205,205,-6
5i,Approach,205,203,12
5i,Approach,205,206,-4
5i,Approach,205,205,7
5i,Approach,205,204,-3
5i,Approach,205,205,5
6i,Approach,190,206,-7
6i,Approach,190,203,3
6i,Approach,190,205,-2
6i,Approach,190,204,4
6i,Approach,190,192,-10
6i,Approach,190,188,8
6i,Approach,190,190,-15
6i,Approach,190,191,5
6i,Approach,190,189,-8
6i,Approach,190,192,12
6i,Approach,190,190,-4
6i,Approach,190,188,7
6i,Approach,190,191,-6
6i,Approach,190,189,4
6i,Approach,190,190,-2
6i,Approach,190,192,8
6i,Approach,190,190,-5
6i,Approach,190,189,6
6i,Approach,190,191,-7
6i,Approach,190,190,3
6i,Approach,190,192,-8
6i,Approach,190,188,5
6i,Approach,190,190,-3
6i,Approach,190,189,2
7i,Approach,175,177,-12
7i,Approach,175,173,8
7i,Approach,175,175,-15
7i,Approach,175,176,5
7i,Approach,175,174,-7
7i,Approach,175,177,12
7i,Approach,175,175,-3
7i,Approach,175,173,7
7i,Approach,175,176,-6
7i,Approach,175,174,4
7i,Approach,175,175,-5
7i,Approach,175,177,8
7i,Approach,175,175,-4
7i,Approach,175,174,6
7i,Approach,175,176,-7
7i,Approach,175,175,3
7i,Approach,175,173,-8
7i,Approach,175,176,5
7i,Approach,175,174,-2
7i,Approach,175,175,4
8i,Approach,160,162,-10
8i,Approach,160,158,8
8i,Approach,160,160,-12
8i,Approach,160,161,5
8i,Approach,160,159,-7
8i,Approach,160,160,10
8i,Approach,160,162,-3
8i,Approach,160,160,7
8i,Approach,160,159,-5
8i,Approach,160,161,4
8i,Approach,160,160,-6
8i,Approach,160,159,8
8i,Approach,160,160,-4
8i,Approach,160,161,6
8i,Approach,160,160,-7
8i,Approach,160,159,3
8i,Approach,160,160,-5
8i,Approach,160,161,5
8i,Approach,160,159,-2
8i,Approach,160,160,4
9i,Approach,145,147,-12
9i,Approach,145,143,10
9i,Approach,145,145,-15
9i,Approach,145,146,5
9i,Approach,145,144,-7
9i,Approach,145,145,12
9i,Approach,145,143,-3
9i,Approach,145,145,7
9i,Approach,145,146,-6
9i,Approach,145,144,4
9i,Approach,145,145,-5
9i,Approach,145,143,8
9i,Approach,145,145,-4
9i,Approach,145,146,6
9i,Approach,145,144,-7
9i,Approach,145,145,3
9i,Approach,145,143,-8
9i,Approach,145,146,5
9i,Approach,145,144,-2
9i,Approach,145,145,4
Pw,Approach,130,131,-12
Pw,Approach,130,129,10
Pw,Approach,130,130,-15
Pw,Approach,130,130,5
Pw,Approach,130,129,-7
Pw,Approach,130,130,12
Pw,Approach,130,131,-3
Pw,Approach,130,130,7
Pw,Approach,130,129,-6
Pw,Approach,130,130,4
Pw,Approach,130,130,-5
Pw,Approach,130,129,8
Pw,Approach,130,130,-4
Pw,Approach,130,131,6
Pw,Approach,130,130,-7
Pw,Approach,130,130,3
Pw,Approach,130,129,-8
Pw,Approach,130,130,5
Pw,Approach,130,130,-2
Pw,Approach,130,129,4
