club,type,target,total,side,target_total,total_roll,total_side
Driver,Tee,235,233,9,250,248,10
Driver,Tee,235,230,17,250,245,19
Driver,Tee,235,233,18,250,248,19
Driver,Tee,235,226,3,250,241,3
Driver,Tee,235,238,-4,250,253,-5
Driver,Tee,235,228,2,250,243,2
Driver,Tee,235,236,8,250,251,8
Driver,Tee,235,237,-9,250,252,-10
Driver,Tee,235,234,11,250,249,12
Driver,Tee,235,227,6,250,242,6
Driver,Tee,235,229,7,250,244,8
Driver,Tee,235,230,5,250,245,5
Driver,Tee,235,232,11,250,247,12
Driver,Tee,235,226,22,250,241,24
Driver,Tee,235,233,-11,250,248,-12
Driver,Tee,235,241,-8,250,256,-9
Driver,Tee,235,234,14,250,249,15
Driver,Tee,235,228,12,250,243,13
Driver,Tee,235,240,11,250,255,12
Driver,Tee,235,232,13,250,247,14
Driver,Tee,235,241,-18,250,256,-20
Driver,Tee,235,235,-3,250,250,-3
Driver,Tee,235,231,21,250,246,22
Driver,Tee,235,236,-1,250,251,-1
Driver,Tee,235,232,-20,250,247,-22
Driver,Tee,235,240,18,250,255,19
Driver,Tee,235,235,-8,250,250,-8
Driver,Tee,235,233,6,250,248,7
Driver,Tee,235,229,16,250,244,18
Driver,Tee,235,237,-8,250,252,-9
Driver,Tee,235,233,14,250,248,15
Driver,Tee,235,232,-16,250,247,-18
Driver,Tee,235,235,-4,250,250,-4
Driver,Tee,235,234,5,250,249,6
Driver,Tee,235,233,1,250,248,1
7i,Approach,155,155,3,160,160,3
7i,Approach,155,161,-6,160,166,-7
7i,Approach,155,155,5,160,160,5
7i,Approach,155,158,-5,160,163,-5
7i,Approach,155,160,-22,160,165,-23
7i,Approach,155,155,-3,160,160,-3
7i,Approach,155,152,6,160,157,6
7i,Approach,155,159,-5,160,164,-5
7i,Approach,155,151,5,160,156,5
7i,Approach,155,155,-3,160,160,-3
7i,Approach,155,156,2,160,161,2
7i,Approach,155,158,-15,160,163,-15
7i,Approach,155,148,9,160,153,9
7i,Approach,155,158,-2,160,163,-2
7i,Approach,155,155,-4,160,160,-4
7i,Approach,155,155,3,160,160,3
7i,Approach,155,153,-3,160,158,-4
7i,Approach,155,153,2,160,158,2
7i,Approach,155,155,-4,160,160,-4
7i,Approach,155,154,-6,160,159,-6
7i,Approach,155,157,-5,160,162,-5
7i,Approach,155,152,-4,160,157,-4
7i,Approach,155,152,5,160,157,6
7i,Approach,155,155,2,160,160,2
7i,Approach,155,156,1,160,161,1
7i,Approach,155,157,-2,160,162,-2
7i,Approach,155,149,4,160,154,4
